id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
5xZtUAVUVfjBtVtMOgMkyy,What's My Name?,"['Rihanna', 'Drake']",263173,11/16/10,2010,0.229,0.69,0.786,0.0,0.0797,-2.959,0.0692,100.049,0.583,1,2,57,0,1
6BdgtqiV3oXNqBikezwdvC,Over,['Drake'],233560,1/1/10,2010,0.0107,0.35,0.845,0.0,0.123,-5.614,0.2,99.643,0.45,1,7,63,1,1
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,['Drake'],214467,6/29/18,2018,0.279,0.899,0.586,0.0,0.0836,-7.866,0.344,150.001,0.492,0,11,72,1,1
18Lxour9k0zowOzlPIrlPF,"Oh, What A Beautiful Mornin'","['Alfred Drake', 'Oklahoma Chorus']",152120,12/2/43,1943,0.975,0.4,0.308,0.000412,0.0807,-10.749,0.0389,81.336,0.361,1,3,20,0,0
4lGUA1a5NCgoRVrvPCrw9G,Free Ride,['Nick Drake'],183987,2/25/72,1972,0.895,0.807,0.117,0.24,0.111,-17.596,0.0621,120.246,0.595,1,0,52,0,2
2AGottAzfC8bHzF7kEJ3Wa,Diamonds Dancing,"['Drake', 'Future']",314632,9/20/15,2015,0.125,0.51,0.358,3.74e-05,0.111,-10.847,0.0467,136.036,0.171,1,1,61,1,1
0LEFmgIj8ABU7CelzGh5Bs,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),"['Lil Yachty', 'DaBaby', 'Drake']",205636,5/29/20,2020,0.226,0.83,0.625,0.0,0.302,-3.678,0.0573,138.046,0.884,1,5,69,1,1
6FyDii5Aec6cNcjLzvS37z,100 (feat. Drake),"['The Game', 'Drake']",334360,1/22/16,2016,0.0136,0.801,0.521,0.0,0.179,-9.871,0.28,108.025,0.412,0,4,60,1,1
2UKKY35uDMvowQnKphvdzF,Finale,"['Alfred Drake', 'Joan Roberts', 'Oklahoma Chorus']",190667,12/2/43,1943,0.864,0.245,0.226,1.34e-06,0.125,-11.848,0.033,172.273,0.194,1,8,4,0,0
10AtCPrROWNYRotLSN8TcQ,"Kiss Me, Kate: Wunderbar","['Cole Porter', 'Patricia Morison', 'Alfred Drake', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",215000,1949,1949,0.958,0.398,0.254,0.0,0.356,-13.383,0.0553,84.719,0.215,1,8,0,0,0
